"idem","year","Gini_net","gdp_gro","Trade","Gov_ex","Secondary_ed","employ_rate","Education_exp","Health_exp","Soc_kind","Soc_payable","Social_prot_ex_pen","Unemp_tra","Property_taxes","PIT","ind_tx","Corporate_ta","mrp_all","arp_mid","pi_a","pi_m","sav_gdp","RD_gdp","res_1mill","rd","rd1","Gov_debt","cycle","trend","gi_bb","phat0","invwt","mu","mu0","mu1","mdiff1","iptw","dr1","id","phat","ate"
"Austria",2002,1.426511261,1.235885934,1.939319279,1.709269961,NA,1.837272703,0.714708231,0.864436156,0.491361694,1.274157849,0.851258349,0.103887686,-3.099327775,-1.027197871,0.898965635,-0.274221452,-1.095619383,-1.15577825,1.187212957,1.125417898,1.441245604,0.315126113,3.472124955,5.004184826,0.454174125,1.822821645,0.001272804,1.425238457,1,0.491827837450958,2.03323180156453,0.00123572704795416,0,1.5270213370455e-06,-1.57776700710301e-06,2.90042806115512,2.90042648338812,"1",0.491827837450958,1
"Austria",2003,1.426511261,1.232868081,1.936976257,1.711807229,NA,1.838534271,0.72202255,0.871334311,0.505149978,1.281033367,0.851258349,0.131586843,-3.088030367,-1.027302846,0.888093431,-0.263863355,-1.050186165,-1.151968606,1.183420628,1.078859236,1.430348942,0.337371395,3.503992944,5.011932601,0.482558818,1.81756537,0.000837978,1.425673283,1,0.49113437289465,2.03610265375277,0.00751296976726512,0,5.64447147238397e-05,-5.84825187156884e-05,2.90452336413031,2.90446488161159,"1",0.49113437289465,1
"Austria",2004,1.426511261,1.235476533,1.958727966,1.731588765,1.790988475,1.822984883,0.692788681,0.87730511,0.51851394,1.274157849,0.84509804,0.10931727,-3.114196281,-1.038883952,0.885307737,-0.267450244,-0.989479138,-1.117450427,1.160901315,1.027953997,1.435313691,0.335682512,3.499521399,5.022910975,0.481809706,1.813580989,-0.000119101,1.426630362,0,0.483156040360225,1.93481994197431,0.00496806210720058,2.46816411010023e-05,0,2.30728903018696e-05,-2.76004243523371,-2.76001936234341,"1",0.483156040360225,1
"Austria",2005,1.426511261,1.233711205,1.973875711,1.710963119,1.797267541,1.828659897,0.683223346,0.873067883,0.51851394,1.264817823,0.838849091,0.099058403,-3.170067717,-1.060060224,0.883957261,-0.266503408,-1.001177653,-1.109788646,1.1764428,1.061308607,1.428847223,0.37534166,3.537735317,5.054883285,0.536305888,1.836324116,-0.002688594,1.429199855,0,0.491380919249105,1.96610791424431,0.00589397822315041,3.47389792949713e-05,0,3.3561602829641e-05,-2.80467508001073,-2.8046415184079,"1",0.491380919249105,1
"Austria",2006,1.432969291,1.232842675,1.992245273,1.704150517,1.797267541,1.836165816,0.683082891,0.867216902,0.51851394,1.255272505,0.832508913,0.091719305,-3.214509739,-1.05973275,0.868564505,-0.248982784,-0.999532227,-1.108143198,1.174335638,1.059237036,1.439750363,0.372770282,3.547053023,5.106870877,0.536696149,1.828015064,-0.00139999,1.434369281,0,0.488893363214074,1.95653886689568,0.00915329973961265,8.3782896123193e-05,0,8.01415965229178e-05,-2.80366011290945,-2.80357997131293,"1",0.488893363214074,1
"Austria",2007,1.442479769,1.231129764,2.003541667,1.694605199,1.796574333,1.844321821,0.67321227,0.869421441,0.531478917,1.243038049,0.812913357,0.079916018,-3.180677363,-1.054551314,0.869824325,-0.256858052,-0.997220149,-1.105831134,1.166155675,1.051619819,1.465969479,0.383533522,3.580928569,5.249531987,0.562248437,1.813580989,0.001670715,1.440809054,1,0.485083375421935,2.06150128136257,0.00927801576609211,0,8.60815765558537e-05,-9.13757038157488e-05,2.97367389213308,2.97358251642927,"1",0.485083375421935,1
"Austria",2008,1.447158031,1.226539602,2.009132287,1.700703717,1.799340549,1.850186583,0.688099505,0.878493493,0.544068044,1.247973266,0.812913357,0.026544439,-3.224724352,-1.032485314,0.874853337,-0.282088289,-0.993859803,-1.102470791,1.138284901,1.026145651,1.460936811,0.409840171,3.616677745,5.283737652,0.598750593,1.837588438,0.00117499,1.445983041,1,0.479367590107389,2.08608178908377,0.0136724588600574,0,0.000186936131279962,-0.000203027927904941,3.01889001439543,3.01868698646753,"1",0.479367590107389,1
"Austria",2009,1.450249108,1.22109156,1.938554958,1.736396502,1.797267541,1.847109741,0.710975408,0.897141146,0.568201724,1.283301229,0.851258349,0.134913401,-3.249159045,-1.054753783,0.887846351,-0.280170886,-1.000003488,-1.108614471,1.169315307,1.054757462,1.412195378,0.414428468,3.617011306,5.107926649,0.585253967,1.903632516,0.001454134,1.448794974,1,0.463500955053211,2.15749285756099,-0.00551919672586076,0,3.04615324987522e-05,-3.52590062976676e-05,3.1289020921942,3.1288668331879,"1",0.463500955053211,1
"Austria",2010,1.44870632,1.229950547,1.994242723,1.725094521,1.800717078,1.849879878,0.710775137,0.897614543,0.568201724,1.285557309,0.86332286,0.147517206,-3.581362798,-1.050939399,0.88641381,-0.279442156,-0.99977106,-1.108382051,1.164842367,1.050698797,1.415065825,0.435541783,3.638461024,5.148661851,0.616320292,1.918030337,-0.000454905,1.449161225,0,0.468275127265658,1.88067184981887,-0.00731175763401981,5.3461799698647e-05,0,4.70823020352535e-05,-2.72454119467869,-2.72449411237666,"1",0.468275127265658,1
"Austria",2011,1.44870632,1.230240359,2.020460319,1.7084209,1.800717078,1.851869601,0.699661358,0.885848196,0.568201724,1.269512944,0.832508913,0.109308186,-3.570522159,-1.048507209,0.879656642,-0.294047386,-1.014368865,-1.122979823,1.17745244,1.063573068,1.426896469,0.426296501,3.642498814,5.197468695,0.608280972,1.916980047,0.000454943,1.448251377,1,0.474741813589221,2.1064080967287,-0.00763440744394805,0,5.82841770202094e-05,-6.44860853663283e-05,3.05156672223003,3.05150223614467,"1",0.474741813589221,1
"Austria",2012,1.445604203,1.229678733,2.021189328,1.709269961,1.800029359,1.853850249,0.701045322,0.887730245,0.568201724,1.274157849,0.832508913,0.117748511,-3.694857205,-1.034424006,0.888061766,-0.256511402,-1.012546313,-1.121157284,1.159752009,1.047402214,1.426177595,0.464596841,3.669265468,5.233024202,0.662597605,1.913813852,-0.001238761,1.446842964,0,0.476975849890759,1.91195760232321,-0.00303990075794669,9.24099661816486e-06,0,8.42739711897852e-06,-2.76393394587624,-2.76392551847912,"1",0.476975849890759,1
"Austria",2013,1.445604203,1.224472708,2.016209676,1.712649702,1.79518459,1.853698212,0.70279971,0.892728411,0.579783597,1.281033367,0.838849091,0.145892452,-2.613388638,-1.024785666,0.887520904,-0.141071993,-1.109889902,-1.218500889,1.248702245,1.137399262,1.421952428,0.470545728,3.674376106,5.224788025,0.66909364,1.910090546,-0.000501399,1.446105602,0,0.476170159665682,1.90901686578562,-0.00233845806489996,5.46838612129567e-06,0,4.97085521288575e-06,-2.75968280477757,-2.75967783392236,"1",0.476170159665682,1
