"idem","year","Gini_net","gdp_gro","Trade","Gov_ex","Secondary_ed","employ_rate","Education_exp","Health_exp","Soc_kind","Soc_payable","Social_prot_ex_pen","Unemp_tra","Property_taxes","PIT","ind_tx","Corporate_ta","mrp_all","arp_mid","pi_a","pi_m","sav_gdp","RD_gdp","res_1mill","rd","rd1","Gov_debt","cycle","trend","gi_bb","phat0","invwt","mu","mu0","mu1","mu6","mdiff1","iptw","dr1"
"Austria",1991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Austria",1992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Austria",1993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Austria",1994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Austria",1995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Austria",1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Austria",1997,1.434568904,1.241993839,1.875020548,1.719331287,1.811575006,1.831078856,0.734553409,0.845494886,0.447158031,1.283301229,0.857332496,0.100138254,-3.115052572,-1.032628995,0.907564081,-0.239386801,-1.019197881,-1.1512556,1.188819913,1.052453284,1.408865225,0.21877438,NA,NA,0.308223617,1.800717078,-0.001358017,1.435926921,0,0.48369547895512,1.93684145545779,0.00430593242895627,0.00430593242895627,0,0,0.00403397600384627,-2.77853252397784,-2.77449854797399
"Austria",1998,1.431363764,1.240881704,1.88698567,1.719331287,1.818225894,1.831696493,0.728658791,0.854738808,0.462397998,1.276461804,0.84509804,0.116348055,-3.138019394,-1.028508765,0.902652675,-0.242778635,-1.050396297,-1.168722248,1.202041075,1.080341798,1.417353272,0.238435037,3.366872428,4.772047651,0.337946679,1.803457116,-0.000119769,1.431483533,0,0.48623245811045,1.94640555984165,0.00507391079139219,0.00507391079139219,0,0,0.00480197738311413,-2.78601438840548,-2.78121241102236
"Austria",1999,1.426511261,1.23910804,1.894201209,1.717670503,1.782472624,1.834823707,0.731039963,0.86213278,0.491361694,1.276461804,0.851258349,0.097417202,-3.108760549,-1.024239629,0.913052909,-0.242197959,-1.042055746,-1.165417199,1.19366648,1.06731479,1.423646667,0.266083456,3.395656576,4.834215167,0.378808825,1.822168079,-0.001198546,1.427709807,0,0.490611992374344,1.96314005243502,-0.000905375878205161,-0.000905375878205161,0,0,-0.00087200377080792,-2.80044139171868,-2.80131339548949
"Austria",2000,1.424881637,1.240405701,1.931832928,1.705863712,NA,1.835690571,0.717161468,0.85351839,0.477121255,1.271841607,0.84509804,0.052841154,-3.171661316,-1.043056949,0.896597233,-0.248115308,-1.054759467,-1.152273167,1.201886534,1.100174191,1.429971389,0.275546294,3.422620794,4.894249809,0.394023316,1.818885415,-0.000678985,1.425560621,0,0.495090118084985,1.98055145248339,-0.000693497477912253,-0.000693497477912253,0,0,-0.000680009959260428,-2.82205139577726,-2.82273140573652
