"idem","year","Gini_net","gdp_gro","Trade","Gov_ex","Secondary_ed","employ_rate","Education_exp","Health_exp","Soc_kind","Soc_payable","Social_prot_ex_pen","Unemp_tra","Property_taxes","PIT","ind_tx","Corporate_ta","mrp_all","arp_mid","pi_a","pi_m","sav_gdp","RD_gdp","res_1mill","rd","rd1","Gov_debt","cycle","trend","gi_bb"
"Austria",1990,1.39619934709574,NA,1.85509927512282,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.27761794765051,-1.29344191177111,NA,0.0297906873413056,-1.03766286975759,-1.17340174585765,1.51772699743767,1.34215664603315,1.4173793982406,NA,NA,NA,NA,NA,7.82117650476061e-05,1.39612113533069,1
"Austria",1991,1.40654018043396,1.25046864865574,1.84626010834201,NA,NA,1.83576492442623,NA,NA,NA,NA,NA,NA,-2.25658970543559,-1.2758560349423,NA,0.0370577888141459,-1.03249181546149,-1.16106722086302,1.48135462071177,1.31731091378507,1.4224877450334,NA,NA,NA,NA,NA,-0.000585408033620284,1.40712558846758,0
"Austria",1992,1.41664050733828,1.2449995602138,1.83100100752299,NA,NA,1.83491903854987,NA,NA,NA,NA,NA,NA,-2.2505711096071,-1.26074858386265,NA,0.0484297612287624,-1.03322161888527,-1.16418201870138,1.46774083143612,1.30263269282588,1.40526395333779,NA,NA,NA,NA,NA,-0.00155693928147795,1.41819744661976,0
"Austria",1993,1.42813479402879,1.23984606045301,1.80202700467442,NA,NA,1.83407150190533,NA,NA,NA,NA,NA,NA,-2.27971629609343,-1.24012021752955,NA,0.0345715093863799,-1.03728459709761,-1.17298566387296,1.45464323664118,1.28635760019274,1.39227323619174,NA,NA,NA,NA,NA,-0.000764800290965909,1.42889959431975,0
"Austria",1994,1.43933269383026,1.24279114891526,1.82031848028922,NA,NA,1.833222308037,NA,NA,NA,NA,NA,NA,-2.99952463805716,-1.27838078323747,NA,-0.184640117613142,-1.02503535896964,-1.15518184788904,1.4767622754861,1.31038550504571,1.39551007433419,NA,NA,NA,NA,NA,0.00187959012912763,1.43745310370114,1
"Austria",1995,1.4456042032736,1.23480781395485,1.83500558327231,1.74741180788642,1.78390357927274,1.8327839646813,0.742735031502364,0.825140397523365,0.447158031342219,1.29885307640971,0.903089986991943,0.13731851823948,-3.01010469616468,-1.08112428610087,0.880718898753899,-0.213149950274983,-1.01321527677608,-1.1443603260229,1.23719574051366,1.09541164277103,1.40606052827691,NA,NA,NA,NA,1.83250891270624,0.00418428196010981,1.44141992131349,1
"Austria",1996,1.43933269383026,1.24326925892289,1.8463778351392,1.74663419893758,1.79518458968242,1.83069109181549,0.740779186164725,0.829219895246571,0.431363764158987,1.29666519026153,0.886490725172482,0.150331112564753,-3.049601998664,-1.05752535188964,0.903982219074192,-0.217159169978656,-1.00793273049215,-1.13284256746913,1.19800973479836,1.0659144154948,1.39665650647641,0.198868685240714,NA,NA,0.277751243175852,1.83250891270624,-0.000649181505561704,1.43998187533582,0
"Austria",1997,1.4345689040342,1.24199383862146,1.87502054798801,1.71933128698373,1.81157500587059,1.83107885574571,0.73455340879957,0.845494886313139,0.447158031342219,1.28330122870355,0.857332496431268,0.100138253724269,-3.11505257247244,-1.03262899548654,0.907564081236199,-0.239386800639078,-1.01919788081386,-1.15125559969431,1.18881991346058,1.05245328386682,1.40886522547495,0.218774380246973,NA,NA,0.308223616554794,1.80071707828239,-0.00135801732045528,1.43592692135465,0
"Austria",1998,1.43136376415899,1.24088170429829,1.88698567040817,1.71933128698373,1.81822589361396,1.83169649304385,0.728658790695412,0.854738807841207,0.462397997898956,1.27646180417324,0.845098040014257,0.116348054614258,-3.13801939445742,-1.0285087645421,0.902652674570832,-0.242778635225413,-1.05039629735428,-1.16872224786478,1.20204107524428,1.08034179807145,1.41735327174985,0.23843503669436,3.36687242762074,4.77204765085262,0.337946679358547,1.80345711564841,-0.000119768611077038,1.43148353277006,0
"Austria",1999,1.42651126136458,1.23910803978812,1.89420120855725,1.71767050300226,1.78247262416629,1.83482370703241,0.731039963003571,0.862132779953051,0.491361693834273,1.27646180417324,0.851258348719075,0.0974172020400403,-3.1087605493642,-1.02423962899013,0.91305290850111,-0.242197959045284,-1.04205574566055,-1.16541719922864,1.19366647975666,1.06731479032239,1.42364666709795,0.266083456049559,3.39565657600193,4.83421516703438,0.378808825374859,1.82216807936802,-0.00119854554687376,1.42770980691145,0
