idem;year;debt_g;Gov_debt;Unempl_rate;Wages;HICP;Net_mig;Gini_net;Gini_market;Net_len_wi;Quantiles;le_male;le_female;Deciles;Health_exp;Education_exp;Social_prot_ex_pen;Social_prot;Family;Unemp_tra;Corporate_ta;pro_imp_tx;ind_tx;property_tx;PIT;cit_total;Property_taxes;VAT;trade;pop_gro;Trade;TOT;GDP;GDP_pc;Secondary_ed;Tertiary_ed;td_male;td_female;leavers;Gov_ex;Deficit;Soc_payable;Soc_kind;employ_rate;arp_mid;mrp_all;insaccess;goveff;regqua;ruleoflaw;voice;instdepth;ins_effic;RD_gdp;res_1mill;sav_gdp;Savings_percapit;ICT;gi_trend;ed_trend;he_trend;soc_trend;kind_trend;prt_trend;indt_trend;pit_trend;gi_cycle;ed_cycle;he_cycle;soc_cycle;kind_cycle;prt_cycle;indt_cycle;pit_cycle;gi_bb;ed_bb;he_bb;soc_bb;kind_bb;prt_bb;indt_bb;pit_bb;gdppc_gro;gdp_gro;insde_d;tot_d;debt_d;redis;pi_m;pi_a;rd;rd1;dtrade;lgini;lgdpg;leduc;lkind;lpay;mdiff1;iptw;dr1
Austria;2000;A;1.818885415;0.672097858;4.894571911;0.414973348;0.231878853;1.424881637;1.644438589;0.53943995;-0.004060965;0.982271233;1.029383778;0.273170827;0.85351839;0.717161468;0.84509804;1.318063335;0.461639625;0.052841154;-0.248115308;1.170848726;0.896597233;-0.248115308;0.199896571;-1.721696174;-3.171661316;-1.102834784;NA;0.000151302;1.931832928;2.007520518;5.314485755;1.425896796;NA;NA;NA;NA;0.047112545;1.705863712;0.707570176;1.271841607;0.477121255;1.835690571;-1.152273167;-1.054759467;-0.174435594;0.290233301;0.174275243;0.25849596;0.127028458;-0.188416924;-0.072164359;0.275546294;3.422620794;1.429971389;3.82027858;NA;1.426966115;0.723309598;0.854942241;1.275763365;0.475951511;-3.128398705;0.901077956;-1.021661169;-0.002084478;-0.00614813;-0.001423852;-0.003921758;0.001169744;-0.043262611;-0.004480723;-0.02139578;0;0;0;0;1;0;0;0;3.506541121;1.240405701;0.067346143;1.983783191;2.212303616;0.644438589;1.100174191;1.201886534;4.894249809;0.394023316;0.03763172;1.426511261;1.23910804;0.731039963;0.491361694;1.276461804;NA;NA;NA
Austria;2001;A;1.822821645;0.602059991;4.890211926;0.462397998;0.210381347;1.424881637;1.649334859;0.731080851;-0.006493637;0.986771734;1.029383778;0.2777789;0.848931672;0.715263657;0.826074803;1.31386722;0.449576946;0.043298437;-0.243777086;1.16941877;0.893257626;-0.243777086;0.194237791;-1.536124641;-3.047798384;-1.10632312;NA;0.000240809;1.94269547;2.008437581;5.317067283;1.438078221;NA;NA;NA;NA;0.042612043;1.711807229;0.812913357;1.269512944;0.477121255;1.834897339;-1.153630094;-1.077494599;-0.18546957;0.291898019;0.184491056;0.26427797;0.121049519;-0.188419999;-0.082825426;0.299311135;3.44807188;1.429956881;3.819787446;NA;1.425577545;0.718046709;0.858471441;1.274122568;0.483789698;-3.114464837;0.897658849;-1.022225689;-0.000695908;-0.002783052;-0.00953977;-0.004609624;-0.006668443;0.066666453;-0.004401223;0.00755569;0;0;0;0;0;1;0;1;3.376588491;1.232375672;0.07725068;1.993445835;2.225978889;0.649334859;1.093301443;1.170553846;4.93059411;0.428002018;0.010862542;1.424881637;1.240405701;0.717161468;0.477121255;1.271841607;NA;NA;NA
Austria;2002;A;1.822821645;0.69019608;4.922144454;0.361727836;0.238023238;1.426511261;1.655138435;0.678427322;0.013805927;0.939519253;1.008600172;0.318862286;0.864436156;0.714708231;0.851258349;1.320146286;0.451944653;0.103887686;-0.274221452;1.172349536;0.898965635;-0.274221452;0.190804785;-1.679847894;-3.099327775;-1.100905095;NA;0.000310694;1.939319279;2.0115071;5.335402733;1.447993709;NA;NA;NA;NA;0.069080919;1.709269961;0.763427994;1.274157849;0.491361694;1.837272703;-1.15577825;-1.095619383;-0.197706191;0.29355638;0.194472045;0.269983984;0.114987078;-0.191546696;-0.079979287;0.315126113;3.472124955;1.441245604;3.862878243;NA;1.425298106;0.712243731;0.862833617;1.272934825;0.492628983;-3.107543562;0.893718982;-1.026350676;0.001213155;0.002464499;0.001602539;0.001223024;-0.001267289;0.008215787;0.005246653;-0.000847195;1;1;1;1;0;1;1;0;3.305331425;1.235885934;0.073861664;1.994676853;2.215330206;0.655138435;1.125417898;1.187212957;5.004184826;0.454174125;-0.003376192;1.424881637;1.232375672;0.715263657;0.477121255;1.269512944;NA;NA;NA
Austria;2003;A;1.81756537;0.681241237;5.009401174;0.278753601;0.270878781;1.426511261;1.6599162;0.687751848;0.034429016;0.919078092;0.991226076;0.360473963;0.871334311;0.72202255;0.851258349;1.322219295;0.459615887;0.131586843;-0.263863355;1.168686443;0.888093431;-0.263863355;0.212719559;-1.687808839;-3.088030367;-1.11229123;NA;0.000280391;1.936976257;2.014980241;5.344979648;1.455768087;NA;NA;NA;NA;0.072147983;1.711807229;0.73239376;1.281033367;0.505149978;1.838534271;-1.151968606;-1.050186165;-0.186829986;0.305102738;0.188443186;0.269989489;0.1091621;-0.190143012;-0.084915464;0.337371395;3.503992944;1.430348942;3.938513529;NA;1.426022113;0.705394096;0.866973961;1.271080703;0.501848298;-3.111316727;0.889070244;-1.032792092;0.000489149;0.016628453;0.004360351;0.009952664;0.00330168;0.023286359;-0.000976812;0.005489246;1;1;1;1;1;1;0;1;3.249527969;1.232868081;0.078626938;1.992057437;2.208942096;0.6599162;1.078859236;1.183420628;5.011932601;0.482558818;-0.002343022;1.426511261;1.235885934;0.714708231;0.491361694;1.274157849;NA;NA;NA
Austria;2004;A;1.813580989;0.770852012;5.060099991;0.414973348;0.289982985;1.426511261;1.665580991;0.12946431;0.011977792;1.021189299;0.959041392;0.325472221;0.87730511;0.692788681;0.84509804;1.31386722;0.45032301;0.10931727;-0.267450244;1.164468251;0.885307737;-0.267450244;0.214979847;-1.670732056;-3.114196281;-1.11526699;-4.788612663;0.000395137;1.958727966;2.012691997;5.368120389;1.472247573;1.790988475;1.255272505;1.342422681;1.298853076;-0.062147907;1.731588765;0.361727836;1.274157849;0.51851394;1.822984883;-1.117450427;-0.989479138;-0.181093388;0.281001916;0.187800155;0.266281408;0.162903461;-0.186070808;-0.081334697;0.335682512;3.499521399;1.435313691;4.00141542;NA;1.427837986;0.697385556;0.870094073;1.267636455;0.510623808;-3.12815165;0.884363987;-1.040441453;-0.001326724;-0.004596875;0.007211036;0.006521395;0.007890132;0.013955369;0.00094375;0.001557502;0;0;1;1;1;1;1;1;3.230255946;1.235476533;0.074968696;1.982986383;2.218270313;0.665580991;1.027953997;1.160901315;5.022910975;0.481809706;0.02175171;1.426511261;1.232868081;0.72202255;0.505149978;1.281033367;NA;NA;NA
Austria;2005;A;1.836324116;0.755874856;5.075177471;0.431363764;0.31723742;1.426511261;1.672097858;0.59244325;0.014753787;0.986771734;0.949390007;0.313964586;0.873067883;0.683223346;0.838849091;1.305351369;0.440469987;0.099058403;-0.266503408;1.155923458;0.883957261;-0.266503408;0.25713405;-1.67730171;-3.170067717;-1.116692135;-5.248110033;0.000427975;1.973875711;2.009203359;5.38899907;1.4898113;1.797267541;1.247973266;1.320146286;1.309630167;-0.037381728;1.710963119;0.662757832;1.264817823;0.51851394;1.828659897;-1.109788646;-1.001177653;-0.193614412;0.235650041;0.207710857;0.270251183;0.131701582;-0.169368403;-0.081345936;0.37534166;3.537735317;1.428847223;4.01321389;0.437696274;1.430912408;0.690766414;0.87209321;1.263270759;0.518659947;-3.156689835;0.880095276;-1.047311993;-0.004401147;-0.007543068;0.000974673;0.001547064;-0.000146007;-0.013377882;0.003861985;-0.01274823;0;0;1;1;0;0;1;0;3.154725157;1.233711205;0.075227343;1.984022155;2.257088282;0.672097858;1.061308607;1.1764428;5.054883285;0.536305888;0.015147744;1.426511261;1.235476533;0.692788681;0.51851394;1.274157849;NA;NA;NA
Austria;2006;A;1.828015064;0.72427587;5.099975019;0.361727836;0.299155952;1.432969291;1.679427897;0.489775728;0.011604764;1.012837225;0.991226076;0.311326369;0.867216902;0.683082891;0.832508913;1.298853076;0.419808773;0.091719305;-0.248982784;1.143714891;0.868564505;-0.248982784;0.251007163;-1.68624547;-3.214509739;-1.133153636;-6.5470359;0.000324961;1.992245273;2.004423201;5.410945353;1.510452378;1.797267541;1.243038049;1.338456494;1.309630167;-0.021611149;1.704150517;0.662757832;1.255272505;0.51851394;1.836165816;-1.108143198;-0.999532227;-0.191032829;0.260228907;0.217406116;0.28152681;0.149861077;-0.173432898;-0.091729119;0.372770282;3.547053023;1.439750363;4.048653639;0.41544324;1.435199789;0.687349474;0.874024392;1.259695718;0.526923569;-3.193339925;0.876910173;-1.051167747;-0.002230498;-0.004266582;-0.00680749;-0.004423212;-0.008409629;-0.021169814;-0.008345668;-0.008565003;0;0;0;0;0;0;0;0;3.083743427;1.232842675;0.084828653;1.986144006;2.18577347;0.679427897;1.059237036;1.174335638;5.106870877;0.536696149;0.018369562;1.426511261;1.233711205;0.683223346;0.51851394;1.264817823;NA;NA;NA
Austria;2007;A;1.813580989;0.69019608;5.160499144;0.447158031;0.255912635;1.442479769;1.684845362;0.5155957;0.008335657;1.06069784;1.008600172;0.32112734;0.869421441;0.67321227;0.812913357;1.28780173;0.397350648;0.079916018;-0.256858052;1.140027614;0.869824325;-0.256858052;0.245333979;-1.639898483;-3.180677363;-1.132291904;NA;0.000206515;2.003541667;2.002548056;5.430446112;1.534458281;1.796574333;1.238046103;1.334453751;1.303196057;-0.052097669;1.694605199;0.763427994;1.243038049;0.531478917;1.844321821;-1.105831134;-0.997220149;-0.19136129;0.271205843;0.2304581;0.292729799;0.147616654;-0.180892052;-0.0949715;0.383533522;3.580928569;1.465969479;4.136732574;0.383056793;1.439950353;0.687740648;0.877096589;1.258870963;0.53635817;-3.236651024;0.87607266;-1.051812466;0.002529416;-0.014528378;-0.007675148;-0.015832914;-0.004879253;0.055973661;-0.006248335;-0.002738848;1;0;0;0;0;1;0;0;3.006075293;1.231129764;0.086991818;1.99372939;2.190275355;0.684845362;1.051619819;1.166155675;5.249531987;0.562248437;0.011296393;1.432969291;1.232842675;0.683082891;0.51851394;1.255272505;NA;NA;NA
Austria;2008;A;1.837588438;0.62324929;5.214595382;0.579783597;0.279576505;1.447158031;1.69019608;0.481843771;0.068120656;1.017033339;0.995635195;0.377695846;0.878493493;0.688099505;0.812913357;1.292256071;0.410476257;0.026544439;-0.282088289;1.144518848;0.874853337;-0.282088289;0.240180663;-1.633528497;-3.224724352;-1.127413917;NA;0.00019909;2.009132287;1.997151715;5.43411761;1.547791806;1.799340549;1.252853031;1.338456494;1.342422681;-0.021398145;1.700703717;0.755874856;1.247973266;0.544068044;1.850186583;-1.102470791;-0.993859803;-0.191325939;0.248602756;0.205371937;0.284828902;0.145219813;-0.178901283;-0.13634393;0.409840171;3.616677745;1.460936811;4.174500983;0.352237052;1.444057443;0.691863197;0.881429572;1.262048413;0.546561702;-3.288559408;0.877511411;-1.050420303;0.003100588;-0.003763692;-0.002936079;-0.014075147;-0.002493657;0.063835056;-0.002658074;0.017934988;1;0;0;0;0;1;0;1;2.89600117;1.226539602;0.124518246;1.992075793;2.258642304;0.69019608;1.026145651;1.138284901;5.283737652;0.598750593;0.00559062;1.442479769;1.231129764;0.67321227;0.531478917;1.243038049;NA;NA;NA
Austria;2009;A;1.903632516;0.73239376;5.195059019;-4.82E-17;0.286461125;1.450249108;1.694605199;0.308628433;0.038526477;0.934498451;0.949390007;0.356245296;0.897141146;0.710975408;0.851258349;1.326335861;0.436015689;0.134913401;-0.280170886;1.157810678;0.887846351;-0.280170886;0.240553073;-1.799763733;-3.249159045;-1.113523236;-6.58439757;0.000150214;1.938554958;2.00529056;5.414463588;1.538215695;1.797267541;1.276461804;1.359835482;1.378397901;0.014891555;1.736396502;0.255272505;1.283301229;0.568201724;1.847109741;-1.108614471;-1.000003488;-0.197684562;0.223632724;0.164772124;0.252121815;0.151826039;-0.171785793;-0.132741097;0.414428468;3.617011306;1.412195378;4.093103342;0.296100535;1.446819112;0.69731584;0.885915088;1.26794672;0.556351438;-3.342045564;0.880155366;-1.048603624;0.003429996;0.013659568;0.011226058;0.015354509;0.011850286;0.092886519;0.007690985;-0.006150158;1;1;1;1;1;1;1;0;2.808029763;1.22109156;0.116814191;2.011018514;2.272754051;0.694605199;1.054757462;1.169315307;5.107926649;0.585253967;-0.070577329;1.447158031;1.226539602;0.688099505;0.544068044;1.247973266;NA;NA;NA
